Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781657901,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781657902,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781657903,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781657904,10,,Aggregated,0.000000,0.000000,2500,2500,2600,2600,2600,2600,2600,2600,2600,2600,2600,6,0,2500.0,2425.4028159997083,2014.9502669992216,2571.0480010002357,4249.0
1781657905,10,,Aggregated,0.000000,0.000000,2500,2500,2500,2600,2600,2600,2600,2600,2600,2600,2600,9,0,2500.0,2301.840537666471,2014.9502669992216,2571.0480010002357,4249.0
1781657906,10,,Aggregated,0.000000,0.000000,2500,2500,2600,2600,3900,3900,3900,3900,3900,3900,3900,10,0,2500.0,2458.918089999861,2014.9502669992216,3872.6160610003717,4249.0
1781657907,10,,Aggregated,0.000000,0.000000,2500,2500,2600,2600,3900,3900,3900,3900,3900,3900,3900,10,0,2500.0,2458.918089999861,2014.9502669992216,3872.6160610003717,4249.0
1781657908,10,,Aggregated,0.000000,0.000000,2500,2500,2600,2600,3900,3900,3900,3900,3900,3900,3900,10,0,2500.0,2458.918089999861,2014.9502669992216,3872.6160610003717,4249.0
1781657909,10,,Aggregated,2.000000,0.000000,2600,3900,5000,5000,5000,5100,5100,5100,5100,5100,5100,15,0,2600.0,3317.0350862666965,2014.9502669992216,5064.524679999522,2950.6666666666665
1781657910,10,,Aggregated,2.000000,0.000000,2600,3900,5000,5000,5000,5100,5100,5100,5100,5100,5100,15,0,2600.0,3317.0350862666965,2014.9502669992216,5064.524679999522,2950.6666666666665
1781657911,10,,Aggregated,2.000000,0.000000,2600,3900,5000,5000,5000,5100,5100,5100,5100,5100,5100,15,0,2600.0,3317.0350862666965,2014.9502669992216,5064.524679999522,2950.6666666666665
1781657912,10,,Aggregated,2.000000,0.000000,2600,3900,5000,5000,5000,5100,5100,5100,5100,5100,5100,15,0,2600.0,3317.0350862666965,2014.9502669992216,5064.524679999522,2950.6666666666665
1781657913,10,,Aggregated,2.000000,0.000000,2600,3900,5000,5000,5000,5100,5100,5100,5100,5100,5100,15,0,2600.0,3317.0350862666965,2014.9502669992216,5064.524679999522,2950.6666666666665
